CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.38627356,0.82472682,0.4130598
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
0.63640058,0.35978064,0.68231386
