CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
0.97157049,0.18321942,0.14993836
-0.71382588,-0.66896582,0.20721367
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.73229718,0.47860652,0.48443443
0.97157049,0.18321942,0.14993836
