CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.51519847,-0.72580516,0.45582616
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.51519847,-0.72580516,0.45582616
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.51519847,-0.72580516,0.45582616
0.51519847,-0.72580516,0.45582616
0.51519847,-0.72580516,0.45582616
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.11299953,0.63803726,0.76166904
0.51519847,-0.72580516,0.45582616
0.51519847,-0.72580516,0.45582616
0.51519847,-0.72580516,0.45582616
0.51519847,-0.72580516,0.45582616
0.36355546,0.057629384,0.92978835
0.36355546,0.057629384,0.92978835
